id,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,ground_truth_vulnerable
62,0,0,6,3,0,0,0,1,0,4,3,1,1.0,0,2,0.5,0,0,2,0,6,0,0,0,0,2,1,0.0,0.0,6.0,18.0,0,0,0,0,0,0.0,0,0,3,0,0,0,0.0,3,0,0.0,3,0,0,0,3,0.0,2,0,0,1.0,0,0,0,0,False
1009,0,11,83,2,0,0,0,1,0,36,18,1,1.0,0,20,0.5555555555555556,0,0,3,0,47,47,0,11,0,14,5,0.0,0.0,138.0,787.5857142857144,0,13,11,0,8,0.8461538461538461,0,2,2,1,1,0,0.0,1,1,0.5,2,0,1,0,8,0.0,1,9,1,0.1,16,1,9,0,False
277,0,0,22,17,7,0,0,3,0,218,2,1,2.6470588235294117,0,109,0.5,0,7,0,0,4,18,0,0,0,3,2,0.0,0.0,22.0,121.73333333333332,1,107,97,0,8,0.9065420560747663,19,45,17,10,0,7,0.4117647058823529,0,17,0.5882352941176471,7,0,7,0,23,0.0,17,0,0,1.0,0,0,0,0,False
1011,2,3,45,39,71,0,0,3,3,426,13,1,1.205128205128205,0,231,0.5422535211267606,1,0,2,0,58,8,0,5,1,13,6,0.0,0.0,80.0,391.38461538461536,2,150,115,0,13,0.7666666666666667,34,47,39,114,3,71,0.3837837837837838,37,2,2.923076923076923,9,0,28,5,51,5.6,29,0,0,1.0,0,0,0,0,False
300,1,9,119,1,3,0,0,2,0,20,6,1,2.0,0,8,0.4,0,1,1,0,21,108,0,10,0,7,2,0.0,0.0,174.0,2401.2,0,7,6,0,5,0.8571428571428571,2,2,1,2,1,3,0.6,1,0,2.0,2,0,1,0,3,0.0,1,0,0,1.0,0,0,0,0,False
18,0,0,11,1,0,0,0,1,0,55,7,1,1.0,0,12,0.21818181818181817,0,0,1,0,11,0,0,0,0,4,1,0.0,0.0,11.0,30.25,0,2,1,0,1,0.5,0,1,1,1,1,0,0.0,1,0,1.0,1,0,0,0,3,0.0,1,0,0,1.0,0,0,0,0,False
492,0,0,4,15,3,11,1,3,0,169,2,1,1.4,0,39,0.23076923076923078,0,0,1,0,3,1,0,0,0,3,2,0.0,0.0,4.0,4.933333333333334,1,68,56,0,10,0.8235294117647058,3,21,15,24,3,3,0.1111111111111111,12,3,1.6,10,11,8,0,33,0.0,14,0,0,1.0,0,0,0,0,False
298,1,9,119,36,31,0,0,17,0,693,3,1,2.611111111111111,2,339,0.48917748917748916,0,19,0,0,16,113,0,10,0,6,2,0.0,0.0,174.0,2757.8999999999996,3,289,274,2,29,0.9480968858131488,33,94,36,45,0,31,0.40789473684210525,0,36,1.25,17,0,20,0,76,0.0,36,0,0,1.0,0,0,0,0,False
512,0,0,3,1,0,1,0,1,0,7,1,1,1.0,0,3,0.42857142857142855,0,0,0,0,2,1,0,0,0,2,1,0.0,0.0,3.0,4.05,0,1,0,0,0,0.0,0,1,1,0,0,0,0.0,0,1,0.0,1,1,0,0,0,0.0,0,0,0,1.0,0,0,0,0,False
265,0,0,16,1,0,0,0,1,0,30,9,1,1.0,0,22,0.7333333333333333,0,0,2,0,9,7,0,0,0,3,1,0.0,0.0,16.0,74.13333333333333,0,3,2,0,2,0.6666666666666666,0,1,1,2,0,0,0.0,0,1,2.0,1,0,0,0,3,0.0,1,0,0,1.0,0,0,0,0,False
70,0,0,3,1,0,0,0,1,0,4,1,1,1.0,0,2,0.5,0,0,0,0,3,0,0,0,0,1,1,0.0,0.0,3.0,9.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,0,0.0,1,0,0,0,4,0.0,1,0,0,1.0,0,0,0,0,False
511,0,0,2,1,0,0,0,1,0,17,1,1,1.0,0,9,0.5294117647058824,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,0,0.0,1,0,0,0,3,0.0,1,0,0,1.0,0,0,0,0,False
60,0,0,2,0,0,0,0,0,0,10,1,1,0.0,0,6,0.6,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,False
107,0,0,24,12,0,0,0,1,0,114,1,1,1.0,0,31,0.2719298245614035,0,0,0,0,12,12,0,0,0,3,2,0.0,0.0,24.0,163.2,1,56,44,0,6,0.7857142857142857,2,12,12,31,0,0,0.0,0,12,2.5833333333333335,9,0,0,0,19,0.0,9,0,0,1.0,0,0,0,0,False
964,0,0,3,7,4,4,0,1,0,91,1,1,1.0,0,3,0.03296703296703297,0,0,0,0,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,0,23,16,0,8,0.6956521739130435,5,7,7,16,2,4,0.2,2,5,2.2857142857142856,5,4,4,0,7,0.0,4,0,0,1.0,0,0,0,0,False
1019,1,5,24,25,18,9,0,8,0,263,3,1,1.8,0,40,0.1520912547528517,1,0,0,0,12,20,0,6,2,14,6,0.0,0.0,59.0,109.57142857142857,2,160,140,3,29,0.875,21,45,25,45,3,18,0.2857142857142857,19,6,1.8,14,9,11,3,38,3.6666666666666665,16,4,1,0.2,0,1,4,0,False
27,0,0,36,4,3,0,0,1,0,22,9,1,1.0,0,3,0.13636363636363635,0,0,2,0,20,16,0,0,0,5,3,0.0,0.0,36.0,224.64,0,9,5,0,2,0.5555555555555556,3,4,4,5,1,3,0.375,1,3,1.25,0,0,0,1,1,0.0,1,0,0,1.0,0,0,0,0,False
252,0,0,24,13,5,0,0,7,0,260,4,1,3.769230769230769,0,129,0.49615384615384617,0,0,0,0,11,13,0,0,0,4,2,0.0,0.0,24.0,120.6,1,107,112,0,14,1.0467289719626167,2,49,13,41,0,5,0.10869565217391304,0,13,3.1538461538461537,10,0,5,3,49,1.6666666666666667,13,0,0,1.0,0,0,0,0,False
305,1,9,151,4,2,2,0,3,0,56,7,1,2.0,0,27,0.48214285714285715,0,2,1,0,25,136,0,10,0,6,2,0.0,0.0,206.0,4126.866666666667,0,20,17,0,8,0.85,3,8,4,3,0,2,0.4,1,3,0.75,2,2,2,0,6,0.0,3,1,0,0.0,0,0,1,0,False
1024,0,8,97,0,0,4,0,0,0,123,24,1,0.0,0,61,0.4959349593495935,0,0,0,0,44,61,0,8,0,14,4,0.0,0.0,137.0,848.4214285714286,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,4,0,0,0,0.0,0,0,0,1.0,0,0,0,0,False
232,0,0,11,17,0,5,0,7,0,280,7,1,2.411764705882353,0,160,0.5714285714285714,0,0,1,0,7,4,0,0,0,3,1,0.0,0.0,11.0,35.93333333333333,1,81,76,0,7,0.9382716049382716,9,41,17,21,3,0,0.0,9,8,1.2352941176470589,14,5,3,0,32,0.0,13,0,0,1.0,0,0,0,0,False
183,0,1,704,15,32,5,0,7,4,17,19,1,2.2666666666666666,0,1,0.058823529411764705,0,8,0,0,447,258,0,1,0,9,5,0.0,0.0,709.0,49440.933333333334,1,88,82,1,13,0.9318181818181818,8,34,15,14,0,32,0.6956521739130435,0,15,0.9333333333333333,10,5,11,14,33,0.7857142857142857,14,0,0,1.0,0,0,0,0,False
235,0,0,4,2,0,0,0,1,0,55,2,1,1.0,0,37,0.6727272727272727,0,0,1,0,4,0,0,0,0,2,1,0.0,0.0,4.0,8.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0.0,2,0,0.0,2,0,0,0,10,0.0,2,0,0,1.0,0,0,0,0,False
121,1,12,153,49,21,6,1,9,0,633,13,1,2.4693877551020407,0,236,0.37282780410742494,1,16,1,0,38,128,0,13,0,10,5,0.0,0.0,223.0,2845.4799999999996,3,297,271,1,17,0.9124579124579124,42,121,49,94,4,21,0.1826086956521739,30,19,1.9183673469387754,32,6,23,2,87,11.5,45,6,2,0.25,0,3,6,0,False
106,0,0,32,1,4,0,0,6,0,33,5,1,6.0,0,18,0.5454545454545454,0,1,1,0,16,16,0,0,0,3,2,0.0,0.0,32.0,290.1333333333333,0,13,14,1,9,1.0769230769230769,1,6,1,2,1,4,0.6666666666666666,1,0,2.0,2,0,1,1,1,1.0,1,0,0,1.0,0,0,0,0,False
504,0,0,6,2,1,0,0,1,1,58,1,1,1.0,0,42,0.7241379310344828,0,0,0,0,4,2,0,0,0,4,3,0.0,0.0,6.0,8.1,0,12,10,0,6,0.8333333333333334,1,2,2,3,0,1,0.25,0,2,1.5,3,0,1,1,3,1.0,2,0,0,1.0,0,0,0,0,False
169,0,0,18,4,0,2,0,1,0,19,11,1,1.0,0,1,0.05263157894736842,0,0,2,0,11,7,0,0,0,6,2,0.0,0.0,18.0,47.7,0,8,4,0,1,0.5,2,4,4,0,0,0,0.0,2,2,0.0,4,2,2,0,4,0.0,3,0,0,1.0,0,0,0,0,False
1043,0,0,19,10,7,7,0,3,1,81,2,1,1.2,0,3,0.037037037037037035,2,2,0,0,4,15,0,0,0,6,4,0.0,0.0,19.0,45.916666666666664,0,56,47,0,16,0.8392857142857143,3,12,10,16,1,7,0.30434782608695654,8,2,1.6,7,7,6,1,19,6.0,6,2,0,0.0,0,0,2,0,False
26,0,0,3,1,0,1,0,9,0,28,1,1,9.0,0,3,0.10714285714285714,0,0,0,0,4,0,0,0,1,3,1,0.0,0.0,3.0,4.0,0,15,18,0,7,1.2,0,9,1,3,1,0,0.0,1,0,3.0,3,1,1,0,1,0.0,1,0,0,1.0,0,0,0,0,False
299,1,9,133,1,1,0,0,5,0,26,7,1,5.0,0,9,0.34615384615384615,0,1,1,0,26,117,0,10,0,7,2,0.0,0.0,188.0,2897.885714285714,0,11,11,0,7,1.0,2,5,1,0,0,1,1.0,1,0,0.0,1,0,1,0,3,0.0,1,0,0,1.0,0,0,0,0,False
83,0,0,31,3,4,0,0,9,0,83,3,1,3.6666666666666665,0,45,0.5421686746987951,0,2,0,0,16,15,0,0,0,3,2,0.0,0.0,31.0,273.83333333333337,0,30,31,0,11,1.0333333333333334,1,11,3,11,0,4,0.26666666666666666,0,3,3.6666666666666665,9,0,1,2,8,0.5,3,0,0,1.0,0,0,0,0,False
145,0,0,12,1,0,0,0,1,0,8,8,1,1.0,0,1,0.125,0,0,2,0,8,4,0,0,0,3,1,0.0,0.0,12.0,43.2,0,2,1,0,1,0.5,0,1,1,1,0,0,0.0,0,1,1.0,0,0,0,0,4,0.0,1,0,0,1.0,0,0,0,0,False
1038,0,1,4,7,0,7,0,3,0,118,2,1,1.4285714285714286,0,69,0.5847457627118644,0,0,1,0,5,1,0,1,1,4,1,0.0,0.0,9.0,12.825,0,32,25,0,5,0.78125,5,10,7,6,1,0,0.0,3,4,0.8571428571428571,4,7,2,0,23,0.0,6,0,0,1.0,0,0,0,0,False
124,0,0,2,3,0,0,0,1,0,26,1,1,1.0,0,16,0.6153846153846154,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,3,0,0,0,0.0,3,0,0.0,3,0,0,0,1,0.0,1,0,0,1.0,0,0,0,0,False
