contract_id,contract_name,address,file_path,compiler_version,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs
39,Ondo,0xfaba6f8e00000000000000000000000000000000,blockchain/contracts/collected/Ondo_0xfaba6f8e,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,16,23,3,15,1,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,177,165,2,19,0.9322033898305084,True,20,58,23,48,4,3,0.058823529411764705,True,15,8,2.0869565217391304,22,15,10,True,0,45,0.0,19
40,izumiToken,0x9ad3720500000000000000000000000000000000,blockchain/contracts/collected/izumiToken_0x9ad37205.sol,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,8,1,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,2,1,0,1,0.5,False,0,1,1,1,0,0,0.0,True,1,0,1.0,0,0,0,False,0,0,0.0,0
44,MainToken,0xF063fE1a00000000000000000000000000000000,blockchain/contracts/collected/MainToken_0xF063fE1a.sol,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,49,7,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,23,16,0,8,0.6956521739130435,False,5,7,7,4,1,0,0.0,True,5,2,0.5714285714285714,6,0,0,True,0,5,0.0,2
45,NumeraireBackend,0x1776e1f200000000000000000000000000000000,blockchain/contracts/collected/NumeraireBackend_0x1776e1f2.sol,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,1,111,22,13,7,0,3,9,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,112,90,0,10,0.8035714285714286,False,19,26,22,46,1,13,0.22033898305084745,False,20,2,2.090909090909091,17,7,16,True,11,54,1.4545454545454546,19
46,MiniMeToken,0x87d73e9100000000000000000000000000000000,blockchain/contracts/collected/MiniMeToken_0x87d73e91.sol,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,55,22,12,12,0,12,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,157,142,2,15,0.9044585987261147,True,29,58,22,33,3,12,0.26666666666666666,False,16,6,1.5,11,12,10,True,8,44,1.25,19
48,UwU,0x55C08ca500000000000000000000000000000000,blockchain/contracts/collected/UwU_0x55C08ca5.sol,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4,29,11,11,7,2,1,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,41,30,0,5,0.7317073170731707,False,2,11,11,14,2,11,0.44,False,8,3,1.2727272727272727,7,7,6,True,0,12,0.0,8
50,FungTokenProxy,0x0e4e7f2a00000000000000000000000000000000,blockchain/contracts/collected/FungTokenProxy_0x0e4e7f2a.sol,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,5,1,0,0,0,1,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,2,1,0,1,0.5,False,0,1,1,1,0,0,0.0,True,1,0,1.0,0,0,0,False,0,1,0.0,1
51,Pool,0x0cec1a9100000000000000000000000000000000,blockchain/contracts/collected/Pool_0x0cec1a91,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,16,24,10,17,0,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
55,RibbonToken,0x6123b00400000000000000000000000000000000,blockchain/contracts/collected/RibbonToken_0x6123b004.sol,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,15,6,0,4,3,1,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,21,15,0,6,0.7142857142857143,False,0,6,6,9,1,0,0.0,True,3,3,1.5,8,4,1,True,0,10,0.0,4
56,IndexToken,0x0954906d00000000000000000000000000000000,blockchain/contracts/collected/IndexToken_0x0954906d.sol,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,5,20,3,12,0,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,141,131,2,19,0.9290780141843972,True,19,50,20,30,4,3,0.09090909090909091,False,10,10,1.5,10,12,7,True,0,43,0.0,18
