contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,label
497,HFT,0xb3999f6500000000000000000000000000000000,blockchain/contracts/collected/HFT_0xb3999f65.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,17,28,10,17,0,14,0,790,2,1,2.142857142857143,2,250,0.31645569620253167,0,3,0,0,4,14,0,1,0,5,3,0.0,0.0,22.0,60.72,True,complex,,,193,176,2,19,0.9119170984455959,True,21,60,28,47,4,10,0.17543859649122806,False,16,12,1.6785714285714286,10,17,11,True,0,62,0.0,25,
500,SirenToken,0xD23Ac27100000000000000000000000000000000,blockchain/contracts/collected/SirenToken_0xD23Ac271.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,6,20,3,12,0,14,0,396,2,1,2.5,2,95,0.2398989898989899,0,0,0,0,6,1,0,1,0,5,3,0.0,0.0,11.0,14.74,True,moderate,,,143,133,2,19,0.9300699300699301,True,19,50,20,30,4,3,0.09090909090909091,False,10,10,1.5,10,12,7,True,0,43,0.0,18,
505,USF,0xe0e05c4300000000000000000000000000000000,blockchain/contracts/collected/USF_0xe0e05c43.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,5,20,3,12,0,14,0,249,1,1,2.5,2,80,0.321285140562249,0,0,0,0,4,2,0,1,0,5,3,0.0,0.0,10.0,10.8,True,moderate,,,139,129,2,19,0.9280575539568345,True,19,50,20,29,4,3,0.09375,False,10,10,1.45,10,12,7,True,0,43,0.0,18,
506,ValueLiquidityToken,0x49e8333300000000000000000000000000000000,blockchain/contracts/collected/ValueLiquidityToken_0x49e83333.sol,,manual,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0,1,45,23,16,11,0,14,0,981,7,1,2.3043478260869565,2,539,0.5494393476044852,0,11,2,0,26,21,0,1,1,14,6,0.0,0.0,50.0,145.35714285714286,True,critical,,,145,132,2,19,0.9103448275862069,True,12,53,23,40,5,16,0.2857142857142857,True,16,7,1.7391304347826086,15,11,14,True,4,41,3.5,21,
507,ANKRToken,0x8290333c00000000000000000000000000000000,blockchain/contracts/collected/ANKRToken_0x8290333c.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,21,2,0,4,0,1,0,228,6,1,1.0,0,94,0.41228070175438597,0,0,3,0,21,3,0,0,0,6,1,0.0,0.0,21.0,80.85,True,complex,,,8,6,0,3,0.75,False,0,2,2,0,0,0,0.0,False,1,1,0.0,2,4,0,True,0,0,0.0,0,
511,Elk,0xeEeEEb5700000000000000000000000000000000,blockchain/contracts/collected/Elk_0xeEeEEb57.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,0,1,65,6,0,0,0,1,0,1825,18,1,1.0,0,1016,0.5567123287671233,0,0,3,0,32,34,0,1,0,8,4,0.0,0.0,70.0,488.25,True,critical,,,15,9,0,3,0.6,False,0,6,6,10,1,0,0.0,True,2,4,1.6666666666666667,3,0,0,False,0,10,0.0,4,
513,AdminUpgradeabilityProxy,0xF88b137c00000000000000000000000000000000,blockchain/contracts/collected/AdminUpgradeabilityProxy_0xF88b137c.sol,,manual,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,6,0,29,10,1,1,1,1,1,405,4,1,1.0,0,243,0.6,2,0,2,0,17,18,0,6,0,8,4,0.0,0.0,89.0,329.3,True,critical,,,39,29,0,5,0.7435897435897436,False,2,10,10,22,2,1,0.043478260869565216,True,6,4,2.2,10,1,1,True,1,8,1.0,5,
514,XDEX,0x0000000000000000000000000000000000000000,blockchain/contracts/collected/XDEX_0x00000000.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0,0,22,4,0,1,1,1,0,515,6,1,1.0,0,346,0.6718446601941748,0,0,2,0,14,8,0,0,0,7,2,0.0,0.0,22.0,61.599999999999994,True,complex,,,12,8,0,3,0.6666666666666666,False,0,4,4,5,1,0,0.0,True,4,0,1.25,3,1,1,True,0,4,0.0,3,
515,PickleToken,0x4298816700000000000000000000000000000000,blockchain/contracts/collected/PickleToken_0x42988167.sol,,manual,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,0,0,34,1,0,0,0,1,0,704,7,1,1.0,0,482,0.6846590909090909,0,0,2,0,18,16,0,0,0,8,4,0.0,0.0,34.0,124.1,True,critical,,,3,2,0,2,0.6666666666666666,False,0,1,1,2,1,0,0.0,False,1,0,2.0,2,0,0,False,0,2,0.0,1,
518,LRC_v2,0xbbbbca6a00000000000000000000000000000000,blockchain/contracts/collected/LRC_v2_0xbbbbca6a.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,1,24,4,0,3,0,4,0,252,6,1,1.75,0,104,0.4126984126984127,1,0,3,0,24,4,0,1,2,6,2,0.0,0.0,29.0,129.53333333333333,True,complex,,,17,14,1,6,0.8235294117647058,False,1,7,4,4,1,0,0.0,False,3,1,1.0,6,3,0,True,0,2,0.0,1,
