contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
Dai,blockchain/contracts/collected/Dai_0x6B175474.sol,False,False,True,False,0,0,4,15,3,11,1,3,0
TokenMintERC20Token,blockchain/contracts/collected/TokenMintERC20Token_0x95aD61b0.sol,False,False,False,False,0,0,14,5,1,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
MANAToken,blockchain/contracts/collected/MANAToken_0x0F5D2fB2.sol,False,False,False,False,0,0,24,3,0,3,0,1,0
