contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,1,36,6,0,4,1,1,0
CoolCats,blockchain/contracts/collected/CoolCats_0x1A92f738.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Dai,blockchain/contracts/collected/Dai_0x6b175474.sol,False,False,True,False,0,0,4,15,3,11,1,3,0
BaseRegistrarImplementation,blockchain/contracts/collected/BaseRegistrarImplementation_0x57f1887a.sol,True,False,True,False,0,2,40,14,3,4,2,5,0
Doodles,blockchain/contracts/collected/Doodles_0x8a90CAb2.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
VaultProxy,blockchain/contracts/collected/VaultProxy_0x053c80eA.sol,False,False,False,True,0,0,13,4,3,0,0,1,1
BecToken,blockchain/contracts/collected/BecToken_0xC5d105E6.sol,False,False,False,False,0,0,24,3,0,4,0,1,0
CErc20Delegator,blockchain/contracts/collected/CErc20Delegator_0x2Db6c82C.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BaseRegistrarImplementation,blockchain/contracts/collected/BaseRegistrarImplementation_0x57f1887a.sol,True,False,True,False,0,2,40,14,3,4,2,5,0
Doodles,blockchain/contracts/collected/Doodles_0x8a90CAb2.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,1,36,6,0,4,1,1,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
DAO,blockchain/contracts/collected/DAO_0xBB9bc244.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MoneyMarket,blockchain/contracts/collected/MoneyMarket_0x0eEe3E38.sol,True,False,False,False,1,33,68,40,13,15,0,47,0
DSToken,blockchain/contracts/collected/DSToken_0x89d24A6b.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
CoolCats,blockchain/contracts/collected/CoolCats_0x1A92f738.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MasterChef,blockchain/contracts/collected/MasterChef_0xbD17B1ce.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
Moonbirds,blockchain/contracts/collected/Moonbirds_0x23581767.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,1,36,6,0,4,1,1,0
Azuki,blockchain/contracts/collected/Azuki_0xED5AF388.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
CoolCats,blockchain/contracts/collected/CoolCats_0x1A92f738.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WalletLibrary,blockchain/contracts/collected/WalletLibrary_0x863DF6BF.sol,True,True,True,True,3,3,67,24,4,12,3,12,2
TronToken,blockchain/contracts/collected/TronToken_0xf230b790.sol,False,False,False,False,0,0,13,10,0,9,3,1,0
EtherDelta,blockchain/contracts/collected/EtherDelta_0x8d12A197.sol,True,False,False,True,0,1,40,20,5,9,0,7,1
GolemNetworkToken,blockchain/contracts/collected/GolemNetworkToken_0xa7447644.sol,True,True,True,False,1,1,18,11,4,16,0,11,0
DSToken,blockchain/contracts/collected/DSToken_0x89d24A6b.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,1,36,6,0,4,1,1,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
Vyper,blockchain/contracts/collected/Vyper_contract_0xD533a949.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
SushiToken,blockchain/contracts/collected/SushiToken_0x6B359506.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WETH9,blockchain/contracts/collected/WETH9_0xC02aaA39.sol,False,False,False,False,0,0,3,8,1,5,0,3,0
FiatTokenProxy,blockchain/contracts/collected/FiatTokenProxy_0xA0b86991.sol,False,False,False,True,0,3,14,1,0,0,0,1,0
TetherToken,blockchain/contracts/collected/TetherToken_0xdAC17F95.sol,False,False,False,False,0,15,30,13,7,5,0,2,0
DSToken,blockchain/contracts/collected/DSToken_0x89d24A6b.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,1,36,6,0,4,1,1,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
Vyper,blockchain/contracts/collected/Vyper_contract_0xD533a949.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
SushiToken,blockchain/contracts/collected/SushiToken_0x6B359506.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WETH9,blockchain/contracts/collected/WETH9_0xC02aaA39.sol,False,False,False,False,0,0,3,8,1,5,0,3,0
FiatTokenProxy,blockchain/contracts/collected/FiatTokenProxy_0xA0b86991.sol,False,False,False,True,0,3,14,1,0,0,0,1,0
TetherToken,blockchain/contracts/collected/TetherToken_0xdAC17F95.sol,False,False,False,False,0,15,30,13,7,5,0,2,0
DSToken,blockchain/contracts/collected/DSToken_0x86fa0498.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
VEN,blockchain/contracts/collected/VEN_0xd850942e.sol,True,False,True,False,1,3,50,16,24,7,0,5,0
